"seed";"dispersal";"divergence_threshold";"competition"
"config_M1_161";77509;0;70;0.905263157894737
"config_M1_162";33188;0.0526315789473684;70;0.905263157894737
"config_M1_163";80889;0.105263157894737;70;0.905263157894737
"config_M1_164";39193;0.157894736842105;70;0.905263157894737
"config_M1_165";71093;0.210526315789474;70;0.905263157894737
"config_M1_166";40916;0.263157894736842;70;0.905263157894737
"config_M1_167";33510;0.315789473684211;70;0.905263157894737
"config_M1_168";94220;0.368421052631579;70;0.905263157894737
"config_M1_169";28974;0.421052631578947;70;0.905263157894737
"config_M1_170";84167;0.473684210526316;70;0.905263157894737
"config_M1_171";91121;0.526315789473684;70;0.905263157894737
"config_M1_172";68591;0.578947368421053;70;0.905263157894737
"config_M1_173";73622;0.631578947368421;70;0.905263157894737
"config_M1_174";8700;0.684210526315789;70;0.905263157894737
"config_M1_175";71295;0.736842105263158;70;0.905263157894737
"config_M1_176";16898;0.789473684210526;70;0.905263157894737
"config_M1_177";11110;0.842105263157895;70;0.905263157894737
"config_M1_178";2817;0.894736842105263;70;0.905263157894737
"config_M1_179";3371;0.947368421052632;70;0.905263157894737
"config_M1_180";54354;1;70;0.905263157894737
"config_M1_181";27593;0;75;0.905263157894737
"config_M1_182";82835;0.0526315789473684;75;0.905263157894737
"config_M1_183";19667;0.105263157894737;75;0.905263157894737
"config_M1_184";82911;0.157894736842105;75;0.905263157894737
"config_M1_185";47957;0.210526315789474;75;0.905263157894737
"config_M1_186";43578;0.263157894736842;75;0.905263157894737
"config_M1_187";29265;0.315789473684211;75;0.905263157894737
"config_M1_188";1485;0.368421052631579;75;0.905263157894737
"config_M1_189";30774;0.421052631578947;75;0.905263157894737
"config_M1_190";95609;0.473684210526316;75;0.905263157894737
"config_M1_191";43014;0.526315789473684;75;0.905263157894737
"config_M1_192";74469;0.578947368421053;75;0.905263157894737
"config_M1_193";63429;0.631578947368421;75;0.905263157894737
"config_M1_194";90618;0.684210526315789;75;0.905263157894737
"config_M1_195";40038;0.736842105263158;75;0.905263157894737
"config_M1_196";20623;0.789473684210526;75;0.905263157894737
