"Ma","sea_level"
2.96,-0.336612296487184
2.97,-0.464893597717099
2.98,-0.593174898947014
2.99,-0.72145620017693
3,-0.849737501406845
3.01,1.14990503692337
3.02,3.14954757525358
3.03,2.78301115152036
3.04,2.41647472778714
3.05,2.04993830405392
3.06,1.6834018803207
3.07,1.31686545658748
3.08,0.950329032854262
3.09,0.583792609121043
3.1,0.217256185387823
3.11,0.675301446054397
3.12,1.13334670672097
3.13,0.828364002082315
3.14,0.523381297443659
3.15,0.218398592805002
3.16,-0.0865841118336543
3.17,-0.391566816472311
3.18,-0.696549521110967
3.19,-1.00153222574962
3.2,-1.30651493038828
3.21,-0.21729671112276
3.22,0.871921508142761
3.23,0.775136344040844
3.24,0.678351179938927
3.25,0.581566015837011
3.26,0.484780851735094
3.27,0.387995687633178
3.28,0.291210523531261
3.29,0.194425359429345
3.3,0.0976401953274283
3.31,0.52012535727555
3.32,0.942610519223672
3.33,0.842902987744594
3.34,0.743195456265516
3.35,0.643487924786438
3.36,0.54378039330736
3.37,0.444072861828282
3.38,0.344365330349204
3.39,0.244657798870126
3.4,0.144950267391048
3.41,0.532593536634662
3.42,0.920236805878275
3.43,0.902328050467152
3.44,0.884419295056029
3.45,0.866510539644905
3.46,0.848601784233782
3.47,0.830693028822658
3.48,0.812784273411535
3.49,0.794875518000412
3.5,0.776966762589288
3.51,0.667797078169397
3.52,0.558627393749506
3.53,0.382672765811282
3.54,0.206718137873058
3.55,0.0307635099348339
3.56,-0.14519111800339
3.57,-0.321145745941614
3.58,-0.497100373879839
3.59,-0.673055001818063
3.6,-0.849009629756287
3.61,0.199309304313084
3.62,1.24762823838245
3.63,1.16750831426518
3.64,1.08738839014791
3.65,1.00726846603063
3.66,0.92714854191336
3.67,0.847028617796087
3.68,0.766908693678814
3.69,0.68678876956154
3.7,0.606668845444267
3.71,1.66156184788344
3.72,2.71645485032262
3.73,2.22294859107186
3.74,1.7294423318211
3.75,1.23593607257034
3.76,0.742429813319575
3.77,0.248923554068813
3.78,-0.244582705181949
3.79,-0.73808896443271
3.8,-1.23159522368347
3.81,-0.681746007042047
3.82,-0.131896790400621
3.83,-0.11366921324869
3.84,-0.0954416360967589
3.85,-0.0772140589448277
3.86,-0.0589864817928966
3.87,-0.0407589046409654
3.88,-0.0225313274890342
3.89,-0.00430375033710309
3.9,0.0139238268148281
3.91,0.685179899535832
3.92,1.35643597225684
3.93,1.12901957840734
3.94,0.901603184557852
3.95,0.67418679070836
3.96,0.446770396858868
3.97,0.219354003009376
3.98,-0.00806239084011562
3.99,-0.235478784689608
4,-0.462895178539099
4.01,1.23037004458194
4.02,2.92363526770298
4.03,2.42678817054996
4.04,1.92994107339694
4.05,1.43309397624393
4.06,0.936246879090906
4.07,0.439399781937886
4.08,-0.0574473152151329
4.09,-0.554294412368152
4.1,-1.05114150952117
4.11,-0.742891854890107
4.12,-0.434642200259042
4.13,-0.491997080134653
4.14,-0.549351960010265
4.15,-0.606706839885876
4.16,-0.664061719761487
4.17,-0.721416599637098
4.18,-0.778771479512709
4.19,-0.83612635938832
4.2,-0.893481239263932
4.21,-0.38184063168313
4.22,0.129799975897672
4.23,0.330978328918632
4.24,0.532156681939591
4.25,0.733335034960551
4.26,0.93451338798151
4.27,1.13569174100247
4.28,1.33687009402343
4.29,1.53804844704439
4.3,1.73922680006535
4.31,1.40931720399878
4.32,1.07940760793221
4.33,0.971622424177821
4.34,0.863837240423436
4.35,0.756052056669051
4.36,0.648266872914666
4.37,0.540481689160281
4.38,0.432696505405896
4.39,0.324911321651511
4.4,0.217126137897126
4.41,0.685971159007459
4.42,1.15481618011779
4.43,1.03274543272152
4.44,0.910674685325249
4.45,0.788603937928977
4.46,0.666533190532706
4.47,0.544462443136434
4.48,0.422391695740162
4.49,0.30032094834389
4.5,0.178250200947618
4.51,1.85071136841384
4.52,3.52317253588006
4.53,3.0899082761903
4.54,2.65664401650054
4.55,2.22337975681078
4.56,1.79011549712101
4.57,1.35685123743125
4.58,0.923586977741487
4.59,0.490322718051724
4.6,0.057058458361961
4.61,0.774878826237293
4.62,1.49269919411262
4.63,1.23347723121004
4.64,0.974255268307448
4.65,0.71503330540486
4.66,0.455811342502272
4.67,0.196589379599684
4.68,-0.0626325833029047
4.69,-0.321854546205493
4.7,-0.581076509108081
4.71,-0.293474025988525
4.72,-0.00587154286896951
4.73,-0.0569124534457276
4.74,-0.107953364022486
4.75,-0.158994274599244
4.76,-0.210035185176002
4.77,-0.26107609575276
4.78,-0.312117006329518
4.79,-0.363157916906276
4.8,-0.414198827483034
4.81,-0.445601552619595
4.82,-0.477004277756156
4.83,-0.268140919243949
4.84,-0.0592775607317413
4.85,0.149585797780466
4.86,0.358449156292674
4.87,0.567312514804881
4.88,0.776175873317089
4.89,0.985039231829296
4.9,1.1939025903415
4.91,1.05687819433972
4.92,0.919853798337935
4.93,1.00396123624008
4.94,1.08806867414222
4.95,1.17217611204437
4.96,1.25628354994651
4.97,1.34039098784865
4.98,1.4244984257508
4.99,1.50860586365294
5,1.59271330155508
